行业,净流入,主力买入,主力卖出,股票数,主力净流入,净流入_亿,主力净流入_亿
IT设备,-2319314.6,2545802.5,3652446.4,810,-1106643.9,-231.93146000000002,-110.66439
专用机械,-1135798.4,17174186.5,16346447.2,2900,827739.3000000007,-113.57983999999999,82.77393000000008
中成药,999604.4,906582.9,941672.6,760,-35089.69999999995,99.96044,-3.5089699999999953
乳制品,495263.8,279267.3,224437.0,250,54830.29999999999,49.526379999999996,5.4830299999999985
互联网,-10346872.3,10730844.3,13864647.1,960,-3133802.799999999,-1034.68723,-313.3802799999999
仓储物流,661766.8,726651.9,821224.1,520,-94572.19999999995,66.17668,-9.457219999999996
供气供热,-29626.799999999985,550039.7,605075.0,560,-55035.30000000005,-2.9626799999999984,-5.503530000000005
保险,-266103.7,2714916.7,2449141.4000000004,60,265775.2999999998,-26.61037,26.57752999999998
元器件,-7516308.6,26118854.5,32878687.7,3260,-6759833.199999999,-751.63086,-675.9833199999999
全国地产,2349722.6,1391718.9000000001,1421793.2,290,-30074.299999999814,234.97226,-3.007429999999981
公共交通,33727.9,18888.4,23775.9,80,-4887.5,3.37279,-0.48875
公路,94.19999999999959,5741.0,4846.6,30,894.3999999999996,0.00941999999999996,0.08943999999999996
其他商业,214283.30000000002,277053.3,232146.5,160,44906.79999999999,21.428330000000003,4.4906799999999985
其他建材,679696.7,1119166.9,782839.4,350,336327.4999999999,67.96967,33.63274999999999
农业综合,591156.4,1194583.3,1185203.2,490,9380.100000000093,59.11564,0.9380100000000093
农用机械,70150.40000000001,186605.7,289145.5,160,-102539.79999999999,7.015040000000001,-10.253979999999999
农药化肥,-250776.6,1514827.0,1684435.4,620,-169608.3999999999,-25.07766,-16.96083999999999
出版业,-969047.2999999999,467757.0,559777.6,310,-92020.59999999998,-96.90472999999999,-9.202059999999998
化学制药,931685.0,2339676.4,2326078.9,1590,13597.5,93.1685,1.35975
化工原料,-689803.1000000001,5670888.0,6417751.899999999,2750,-746863.8999999994,-68.98031,-74.68638999999995
化工机械,201226.0,948752.9,705706.6000000001,120,243046.29999999993,20.1226,24.304629999999992
化纤,-151891.7,724369.5,688166.9,380,36202.59999999998,-15.18917,3.620259999999998
区域地产,999874.3,1082900.7,850629.5,500,232271.19999999995,99.98743,23.227119999999996
医疗保健,-43930.79999999998,2284262.6,2278448.3,1910,5814.300000000279,-4.3930799999999985,0.581430000000028
医药商业,231955.5,335555.4,352275.39999999997,390,-16719.99999999994,23.19555,-1.6719999999999942
半导体,-8421786.8,22687745.8,28055842.9,2260,-5368097.099999998,-842.1786800000001,-536.8097099999998
商品城,95966.1,98718.7,90901.3,40,7817.399999999994,9.59661,0.7817399999999994
商贸代理,-3654.700000000005,85255.5,99231.09999999999,180,-13975.599999999991,-0.36547000000000046,-1.397559999999999
啤酒,305007.10000000003,77003.1,99784.2,90,-22781.09999999999,30.500710000000005,-2.278109999999999
园区开发,279384.3,84070.9,124869.6,160,-40798.70000000001,27.93843,-4.079870000000001
塑料,82093.39999999997,2027398.4000000001,1851490.3,850,175908.1000000001,8.209339999999996,17.59081000000001
多元金融,136891.30000000002,459688.2,523307.5,300,-63619.29999999999,13.689130000000002,-6.361929999999999
家居用品,714626.1,543532.1,493308.8,810,50223.29999999999,71.46261,5.022329999999998
家用电器,1025802.2,3316419.6999999997,3973726.2,980,-657306.5000000005,102.58022,-65.73065000000004
小金属,-1789708.7,9261272.5,10659030.0,680,-1397757.5,-178.97087,-139.77575
工程机械,2120207.5,1839849.7,1812268.7,420,27581.0,212.02075,2.7581
广告包装,-2455914.8000000003,3815717.6,5693626.1,540,-1877908.4999999995,-245.59148000000002,-187.79084999999995
建筑工程,2799698.8,3497070.9,3878872.4,1380,-381801.5,279.96988,-38.18015
影视音像,-2437269.4,1445730.1,1989489.4000000001,380,-543759.3,-243.72693999999998,-54.375930000000004
房产服务,124678.2,739141.8,462694.10000000003,130,276447.7,12.46782,27.64477
批发业,-66110.8,186707.8,196021.30000000002,60,-9313.50000000003,-6.61108,-0.9313500000000029
摩托车,16148.3,207067.5,148271.1,140,58796.399999999994,1.61483,5.879639999999999
文教休闲,-685564.0,268805.4,380146.0,550,-111340.59999999998,-68.5564,-11.134059999999998
新型电力,1475858.5,1705797.9,1691990.1,340,13807.799999999814,147.58585,1.3807799999999815
旅游景点,148593.59999999998,194835.4,214919.5,210,-20084.100000000006,14.859359999999997,-2.0084100000000005
旅游服务,365821.60000000003,501266.8,375624.5,80,125642.29999999999,36.58216,12.564229999999998
日用化工,134087.3,146991.7,181145.1,240,-34153.399999999994,13.408729999999998,-3.4153399999999996
普钢,1549579.4,1116278.5999999999,1221968.6,280,-105690.00000000023,154.95793999999998,-10.569000000000024
服饰,-217061.09999999995,884458.1,980701.7,750,-96243.59999999998,-21.706109999999995,-9.624359999999998
机场,333370.10000000003,149004.7,134038.9,60,14965.800000000017,33.33701000000001,1.4965800000000018
机床制造,-159593.2,544224.5,396665.7,250,147558.8,-15.959320000000002,14.75588
机械基件,-2345224.3,4470856.899999999,4470604.3,1300,252.59999999962747,-234.52242999999999,0.025259999999962746
林业,364509.0,752923.6,451118.3,60,301805.3,36.4509,30.180529999999997
染料涂料,-231729.0,489058.5,635059.9,370,-146001.40000000002,-23.1729,-14.600140000000001
橡胶,-66983.90000000001,134897.69999999998,158281.3,160,-23383.600000000006,-6.698390000000001,-2.3383600000000007
水力发电,771849.5,497258.3,597896.2,260,-100637.89999999997,77.18495,-10.063789999999997
水务,244017.6,123746.0,223518.6,170,-99772.6,24.40176,-9.977260000000001
水泥,1139643.9,356096.2,474969.4,260,-118873.20000000001,113.96439,-11.88732
水运,1630397.6,583774.0,659504.5,220,-75730.5,163.03976,-7.57305
汽车整车,1495564.0,2036838.2,1700598.8,250,336239.3999999999,149.5564,33.62393999999999
汽车服务,56130.3,24711.2,35028.8,110,-10317.600000000002,5.61303,-1.0317600000000002
汽车配件,1345850.5999999999,9350133.9,8800223.7,2710,549910.2000000011,134.58506,54.99102000000011
渔业,127395.7,60197.5,48604.799999999996,90,11592.700000000004,12.73957,1.1592700000000005
港口,608636.6,217955.1,268073.5,190,-50118.399999999994,60.863659999999996,-5.011839999999999
火力发电,1680188.0,1105670.8,1233124.7,340,-127453.8999999999,168.0188,-12.745389999999992
焦炭加工,25045.50000000001,1287512.4000000001,422266.4,70,865246.0000000001,2.504550000000001,86.5246
煤炭开采,3163794.0,2834265.6999999997,2454914.3,300,379351.3999999999,316.3794,37.93513999999999
特种钢,225373.3,165694.2,198092.9,110,-32398.699999999983,22.537329999999997,-3.2398699999999985
环境保护,-189289.1,947305.6,1078192.8,1330,-130887.20000000007,-18.928910000000002,-13.088720000000007
玻璃,477049.1,2046611.2,1811662.4000000001,200,234948.7999999998,47.70491,23.49487999999998
生物制药,714558.9,1015859.4,1394068.5,980,-378209.1,71.45589,-37.82091
电信运营,168725.30000000002,724266.8999999999,900655.4,50,-176388.50000000012,16.87253,-17.638850000000012
电器仪表,286272.80000000005,2857999.6,3023615.2,1090,-165615.6000000001,28.627280000000006,-16.56156000000001
电器连锁,31627.5,18440.899999999998,8377.8,20,10063.099999999999,3.16275,1.0063099999999998
电气设备,5337089.6,35145331.7,31273002.7,3670,3872329.0000000037,533.7089599999999,387.23290000000037
白酒,2087570.9,6416508.2,6081716.3,230,334791.9000000004,208.75708999999998,33.47919000000004
百货,356418.0,650928.1,558424.3,400,92503.79999999993,35.6418,9.250379999999993
石油加工,442775.89999999997,287367.4,399770.4,140,-112403.0,44.27759,-11.2403
石油开采,1354123.7,1798815.8,1845953.7,240,-47137.89999999991,135.41236999999998,-4.713789999999991
石油贸易,-18958.4,83940.0,99284.9,50,-15344.899999999994,-1.8958400000000002,-1.5344899999999995
矿物制品,62148.99999999998,898583.0,1114619.1,360,-216036.1000000001,6.214899999999997,-21.60361000000001
种植业,-618151.9,570243.6,869069.7,190,-298826.1,-61.81519,-29.882609999999996
空运,2022559.1,852207.0,976634.6,110,-124427.59999999998,202.25591,-12.442759999999998
红黄酒,78437.5,50537.6,37722.3,110,12815.299999999996,7.84375,1.2815299999999996
纺织,29223.599999999988,486237.0,579775.7999999999,510,-93538.79999999993,2.922359999999999,-9.353879999999993
纺织机械,-35039.00000000001,145558.8,132709.5,120,12849.299999999988,-3.5039000000000007,1.2849299999999988
综合类,22147.200000000008,473521.6,468396.3,200,5125.299999999988,2.2147200000000007,0.5125299999999988
航空,1095527.1,6637430.6,6840532.1,550,-203101.5,109.55271,-20.31015
船舶,609665.5,2258245.7,2407563.5,120,-149317.7999999998,60.96655,-14.931779999999982
装修装饰,-19537.399999999983,433046.0,370655.7,260,62390.29999999999,-1.9537399999999983,6.239029999999999
证券,2746592.7,5077542.3,5136807.5,580,-59265.200000000186,274.65927,-5.926520000000019
超市连锁,383705.8,308342.4,201919.0,100,106423.40000000002,38.37058,10.642340000000003
路桥,217489.19999999998,77768.8,68908.0,230,8860.800000000003,21.74892,0.8860800000000003
软件服务,-13824489.1,15871384.2,21656688.7,3150,-5785304.5,-1382.44891,-578.53045
软饮料,313436.5,157602.1,201875.19999999998,120,-44273.09999999998,31.34365,-4.427309999999998
轻工机械,-38482.09999999999,39697.9,77438.9,70,-37740.99999999999,-3.848209999999999,-3.7740999999999993
运输设备,650386.8,1025399.0,891199.7999999999,580,134199.20000000007,65.03868,13.419920000000007
通信设备,-8599215.3,40037583.9,48415829.7,1480,-8378245.8000000045,-859.9215300000001,-837.8245800000004
造纸,193416.7,1585023.9000000001,979688.2000000001,340,605335.7000000001,19.34167,60.533570000000005
酒店餐饮,203162.2,94475.2,89784.90000000001,120,4690.299999999988,20.31622,0.46902999999999884
钢加工,395806.5,530712.1,344796.3,280,185915.8,39.58065,18.59158
铁路,949428.9,270000.6,289839.6,70,-19839.0,94.94289,-1.9839
铅锌,-1032183.5,4126361.0,4568207.0,160,-441846.0,-103.21835,-44.1846
铜,-4319169.7,8134738.8,8905789.2,200,-771050.3999999994,-431.91697,-77.10503999999995
铝,264032.10000000003,2073918.4000000001,2056559.1,380,17359.300000000047,26.403210000000005,1.7359300000000046
银行,4626878.4,3385523.1,3724896.8,490,-339373.6999999997,462.68784000000005,-33.93736999999997
陶瓷,23049.1,135411.09999999998,85826.3,70,49584.799999999974,2.30491,4.958479999999997
食品,328233.3,762133.7,741079.2,940,21054.5,32.82333,2.10545
饲料,193396.19999999998,336703.8,382759.3,260,-46055.5,19.339619999999996,-4.60555
黄金,-1208655.6,8028385.1,8905143.2,110,-876758.0999999996,-120.86556000000002,-87.67580999999996
